"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-May-2022","EQ","2,435.10","2,539.90","2,432.00","2,427.20","2,533.50","2,529.15","2,501.03","2,856.15","1,930.40",7638666,"19,104,526,814.40",278980
"16-May-2022","EQ","2,434.45","2,481.00","2,416.65","2,426.60","2,428.05","2,427.20","2,444.28","2,856.15","1,930.40",6201594,"15,158,412,714.25",244925
"13-May-2022","EQ","2,426.00","2,478.00","2,415.35","2,399.40","2,431.45","2,426.60","2,451.67","2,856.15","1,906.00",8910998,"21,846,799,849.40",408746
"12-May-2022","EQ","2,427.50","2,434.85","2,370.00","2,449.30","2,403.50","2,399.40","2,400.60","2,856.15","1,906.00",9456280,"22,700,752,366.95",359540
"11-May-2022","EQ","2,472.65","2,484.95","2,421.95","2,474.65","2,450.75","2,449.30","2,454.29","2,856.15","1,906.00",7681157,"18,851,760,949.05",325039
"10-May-2022","EQ","2,495.00","2,526.60","2,458.00","2,518.30","2,461.70","2,474.65","2,495.14","2,856.15","1,906.00",9004636,"22,467,846,480.75",329083
"09-May-2022","EQ","2,574.95","2,597.10","2,507.00","2,620.65","2,508.00","2,518.30","2,540.75","2,856.15","1,906.00",8345649,"21,204,215,137.35",344258
"06-May-2022","EQ","2,612.20","2,659.00","2,593.55","2,640.90","2,628.00","2,620.65","2,619.88","2,856.15","1,906.00",9068448,"23,758,282,132.90",291431
"05-May-2022","EQ","2,723.50","2,730.00","2,632.00","2,693.65","2,643.00","2,640.90","2,677.81","2,856.15","1,906.00",7942721,"21,269,098,539.05",256514
"04-May-2022","EQ","2,785.00","2,790.00","2,676.30","2,780.45","2,692.00","2,693.65","2,728.03","2,856.15","1,906.00",8882792,"24,232,482,662.45",277638
"02-May-2022","EQ","2,762.00","2,805.50","2,758.05","2,790.25","2,780.90","2,780.45","2,783.29","2,856.15","1,906.00",4369022,"12,160,268,319.90",189251
"29-Apr-2022","EQ","2,856.15","2,856.15","2,777.30","2,819.85","2,799.70","2,790.25","2,817.63","2,856.15","1,906.00",8406156,"23,685,432,933.45",231044
"28-Apr-2022","EQ","2,809.95","2,851.00","2,786.10","2,778.35","2,810.00","2,819.85","2,823.91","2,851.00","1,906.00",11820892,"33,381,106,175.20",361970
"27-Apr-2022","EQ","2,755.85","2,828.00","2,755.05","2,775.65","2,776.00","2,778.35","2,794.98","2,828.00","1,906.00",8924920,"24,944,937,712.60",380463
"26-Apr-2022","EQ","2,710.00","2,795.00","2,707.70","2,695.00","2,788.20","2,775.65","2,744.48","2,802.00","1,906.00",5643066,"15,487,283,096.85",215190
"25-Apr-2022","EQ","2,742.40","2,758.40","2,663.65","2,758.80","2,696.00","2,695.00","2,711.20","2,802.00","1,906.00",7874671,"21,349,802,724.25",282246
"22-Apr-2022","EQ","2,758.90","2,802.00","2,744.20","2,782.10","2,762.00","2,758.80","2,768.55","2,802.00","1,876.70",6947490,"19,234,486,953.00",221036
"21-Apr-2022","EQ","2,750.90","2,789.00","2,732.00","2,718.45","2,782.00","2,782.10","2,773.48","2,789.00","1,876.70",10018531,"27,786,222,124.30",352010
"20-Apr-2022","EQ","2,657.10","2,734.00","2,649.10","2,640.80","2,717.50","2,718.45","2,710.69","2,751.35","1,876.70",11570835,"31,364,925,329.30",461685
"19-Apr-2022","EQ","2,558.00","2,668.00","2,551.05","2,543.85","2,626.00","2,640.80","2,628.35","2,751.35","1,876.70",12064446,"31,709,558,937.80",459863
"18-Apr-2022","EQ","2,533.00","2,559.80","2,521.80","2,551.65","2,540.20","2,543.85","2,538.38","2,751.35","1,876.70",4603103,"11,684,440,905.45",222881
"13-Apr-2022","EQ","2,574.50","2,592.60","2,545.50","2,561.05","2,551.90","2,551.65","2,565.29","2,751.35","1,876.70",4778478,"12,258,158,723.00",192467
"12-Apr-2022","EQ","2,587.00","2,602.60","2,555.40","2,610.20","2,560.00","2,561.05","2,571.18","2,751.35","1,876.70",6099986,"15,684,139,811.00",277354
"11-Apr-2022","EQ","2,600.00","2,638.55","2,583.00","2,615.65","2,610.95","2,610.20","2,606.45","2,751.35","1,876.70",4270816,"11,131,687,285.25",195602
"08-Apr-2022","EQ","2,560.00","2,625.00","2,560.00","2,572.85","2,617.95","2,615.65","2,602.86","2,751.35","1,876.70",6992874,"18,201,444,976.80",213226
"07-Apr-2022","EQ","2,595.10","2,606.00","2,567.00","2,619.05","2,572.20","2,572.85","2,583.10","2,751.35","1,876.70",7151632,"18,473,348,627.45",233582
"06-Apr-2022","EQ","2,587.10","2,634.50","2,587.10","2,626.05","2,616.00","2,619.05","2,613.61","2,751.35","1,876.70",5656703,"14,784,387,493.60",163311
"05-Apr-2022","EQ","2,651.10","2,669.90","2,620.70","2,663.70","2,626.00","2,626.05","2,636.90","2,751.35","1,876.70",6068663,"16,002,466,152.10",204933
"04-Apr-2022","EQ","2,655.45","2,675.00","2,641.65","2,655.85","2,660.65","2,663.70","2,658.17","2,751.35","1,876.70",3659307,"9,727,052,260.30",167593
"01-Apr-2022","EQ","2,636.00","2,665.15","2,622.00","2,634.75","2,661.00","2,655.85","2,641.48","2,751.35","1,876.70",3656408,"9,658,325,026.60",163060
"31-Mar-2022","EQ","2,664.95","2,669.70","2,628.60","2,672.95","2,636.00","2,634.75","2,642.00","2,751.35","1,876.70",6102744,"16,123,465,625.40",249443
"30-Mar-2022","EQ","2,639.90","2,688.00","2,617.10","2,622.55","2,658.70","2,672.95","2,661.36","2,751.35","1,876.70",7297028,"19,420,019,029.30",219316
"29-Mar-2022","EQ","2,638.00","2,638.00","2,607.40","2,621.95","2,618.00","2,622.55","2,623.00","2,751.35","1,876.70",4007695,"10,512,198,455.70",203830
"28-Mar-2022","EQ","2,610.00","2,629.75","2,586.50","2,595.85","2,617.00","2,621.95","2,611.69","2,751.35","1,876.70",4564891,"11,922,093,056.05",183261
"25-Mar-2022","EQ","2,582.50","2,616.00","2,577.00","2,578.65","2,600.90","2,595.85","2,596.66","2,751.35","1,876.70",6563676,"17,043,606,171.05",276908
"24-Mar-2022","EQ","2,510.00","2,584.15","2,510.00","2,539.20","2,572.00","2,578.65","2,557.80","2,751.35","1,876.70",6077153,"15,544,115,850.20",221309
"23-Mar-2022","EQ","2,523.00","2,564.85","2,523.00","2,531.15","2,535.00","2,539.20","2,546.52","2,751.35","1,876.70",7135797,"18,171,479,956.25",235853
"22-Mar-2022","EQ","2,460.10","2,534.95","2,453.60","2,467.40","2,528.00","2,531.15","2,508.41","2,751.35","1,876.70",10410082,"26,112,751,091.55",314410
"21-Mar-2022","EQ","2,444.00","2,484.00","2,439.00","2,481.70","2,463.00","2,467.40","2,465.17","2,751.35","1,876.70",5537752,"13,651,502,305.15",235063
"17-Mar-2022","EQ","2,432.75","2,497.40","2,415.10","2,403.35","2,487.50","2,481.70","2,456.66","2,751.35","1,876.70",9886295,"24,287,296,550.40",274442
"16-Mar-2022","EQ","2,382.00","2,407.90","2,377.10","2,363.45","2,401.50","2,403.35","2,396.17","2,751.35","1,876.70",5145644,"12,329,854,279.30",185464
"15-Mar-2022","EQ","2,427.95","2,427.95","2,340.85","2,418.85","2,362.00","2,363.45","2,386.09","2,751.35","1,876.70",7349740,"17,537,136,611.95",257511
"14-Mar-2022","EQ","2,386.90","2,424.40","2,374.00","2,399.15","2,422.20","2,418.85","2,401.52","2,751.35","1,876.70",3849222,"9,243,998,854.25",160500
"11-Mar-2022","EQ","2,376.05","2,411.00","2,376.05","2,392.25","2,393.15","2,399.15","2,396.11","2,751.35","1,876.70",5656799,"13,554,290,818.70",199494
"10-Mar-2022","EQ","2,400.00","2,405.00","2,360.00","2,354.10","2,387.00","2,392.25","2,386.79","2,751.35","1,876.70",8297995,"19,805,599,252.70",278083
"09-Mar-2022","EQ","2,236.00","2,367.00","2,234.15","2,235.50","2,358.30","2,354.10","2,316.35","2,751.35","1,876.70",9421163,"21,822,706,477.90",325395
"08-Mar-2022","EQ","2,211.50","2,246.00","2,180.00","2,239.55","2,235.05","2,235.50","2,220.15","2,751.35","1,876.70",9825043,"21,813,021,864.70",428117
"07-Mar-2022","EQ","2,278.70","2,312.10","2,222.00","2,325.55","2,240.05","2,239.55","2,256.84","2,751.35","1,876.70",8299295,"18,730,168,161.15",372828
"04-Mar-2022","EQ","2,353.00","2,364.30","2,320.35","2,378.30","2,327.95","2,325.55","2,338.20","2,751.35","1,876.70",4986814,"11,660,149,352.95",219860
"03-Mar-2022","EQ","2,400.00","2,414.85","2,370.05","2,398.55","2,382.00","2,378.30","2,392.27","2,751.35","1,876.70",4701183,"11,246,476,348.75",230143
"02-Mar-2022","EQ","2,334.45","2,401.00","2,329.20","2,359.55","2,399.25","2,398.55","2,376.69","2,751.35","1,876.70",9909226,"23,551,157,613.65",309328
"28-Feb-2022","EQ","2,243.00","2,367.35","2,243.00","2,283.95","2,355.00","2,359.55","2,328.64","2,751.35","1,876.70",9828768,"22,887,683,561.40",240020
"25-Feb-2022","EQ","2,280.10","2,307.95","2,276.25","2,255.75","2,283.00","2,283.95","2,290.84","2,751.35","1,876.70",6724094,"15,403,844,188.65",281047
"24-Feb-2022","EQ","2,305.00","2,339.90","2,243.40","2,374.05","2,250.00","2,255.75","2,291.15","2,751.35","1,876.70",11466725,"26,272,008,237.55",493459
